序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
61	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T17:20:26+08:00	2026-08-05T17:26:08+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
62	1A-3A	20+20	300+1575	PHY			2026-08-05T17:26:42+08:00	2026-08-05T17:32:23+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
63	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T17:32:50+08:00	2026-08-05T17:38:31+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
64	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T17:39:02+08:00	2026-08-05T17:42:28+08:00	已連線	0.654	10.735													FAIL	FAIL｜iPerf 測試失敗  UE 192.168.3.2 無法從 iPerf Executor Ping 通，停止測試。
65	3A	20	1575	PHY			2026-08-05T17:43:01+08:00	2026-08-05T17:44:41+08:00	已連線	14.086	36.273													PASS	
66	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T17:45:13+08:00	2026-08-05T17:50:55+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
67	1A-3A	20+20	300+1575	PHY			2026-08-05T17:51:25+08:00	2026-08-05T17:57:08+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
68	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T17:57:40+08:00	2026-08-05T18:03:20+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
69	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T18:03:53+08:00	2026-08-05T18:07:00+08:00	已連線	0.467	11.347													FAIL	FAIL｜iPerf 測試失敗  UE 192.168.3.2 無法從 iPerf Executor Ping 通，停止測試。
70	3A	20	1575	PHY			2026-08-05T18:07:30+08:00	2026-08-05T18:09:07+08:00	已連線	13.755	36.154													PASS	
71	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T18:09:38+08:00	2026-08-05T18:15:19+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
